feature,coefficient,abs_coef,class
obliter rate,2.0817324116340914,2.0817324116340914,Relevant
iii arterioven,2.0742501308859698,2.0742501308859698,Relevant
rate,1.7943448090335448,1.7943448090335448,Relevant
obliter,1.7527701717089434,1.7527701717089434,Relevant
2000,1.428273346389671,1.428273346389671,Relevant
2004,1.388729996499548,1.388729996499548,Relevant
malformations studi,1.3362928560607992,1.3362928560607992,Relevant
pair,1.3209528187622224,1.3209528187622224,Relevant
outcom,1.2063877280576483,1.2063877280576483,Relevant
experience,1.1886190994121546,1.1886190994121546,Relevant
series,1.1194095426095942,1.1194095426095942,Relevant
68,1.054686006713239,1.054686006713239,Relevant
obliteration,1.0406116718534189,1.0406116718534189,Relevant
srs,1.0183817984117594,1.0183817984117594,Relevant
58,1.0152893301480652,1.0152893301480652,Relevant
hazard,0.9917902193281509,0.9917902193281509,Relevant
repeat,0.9840837125599673,0.9840837125599673,Relevant
actuari,0.9788201699593495,0.9788201699593495,Relevant
consecut patient,0.9772128515957121,0.9772128515957121,Relevant
avm obliter,0.9736243167404861,0.9736243167404861,Relevant
nidus,0.9732796208404728,0.9732796208404728,Relevant
multivari,0.9611861576254223,0.9611861576254223,Relevant
combin treatment,0.9435203278298896,0.9435203278298896,Relevant
multileaf,0.9302488363635695,0.9302488363635695,Relevant
defin,0.9255970312226139,0.9255970312226139,Relevant
higher,0.9218218838194512,0.9218218838194512,Relevant
median,0.9174514202132571,0.9174514202132571,Relevant
gks,0.9166139125779924,0.9166139125779924,Relevant
37,0.9151661527808631,0.9151661527808631,Relevant
avm treat,0.911487105896338,0.911487105896338,Relevant
pediatr,-1.4330699648869427,1.4330699648869427,Irrelevant
children,-1.4267551245315233,1.4267551245315233,Irrelevant
meta,-1.183363202469313,1.183363202469313,Irrelevant
systemat,-1.047724260379765,1.047724260379765,Irrelevant
systemat review,-0.9349622044438013,0.9349622044438013,Irrelevant
review,-0.9216356531233844,0.9216356531233844,Irrelevant
13,-0.8836614346706301,0.8836614346706301,Irrelevant
lesion,-0.8248898526147685,0.8248898526147685,Irrelevant
role,-0.7460058715325854,0.7460058715325854,Irrelevant
hypofraction,-0.6805567250706469,0.6805567250706469,Irrelevant
brain avm,-0.6782150809513973,0.6782150809513973,Irrelevant
model,-0.6577968388793146,0.6577968388793146,Irrelevant
dural,-0.6520294717865485,0.6520294717865485,Irrelevant
search,-0.6516608336630653,0.6516608336630653,Irrelevant
resect,-0.6433275445608381,0.6433275445608381,Irrelevant
review meta,-0.6362807696529026,0.6362807696529026,Irrelevant
pediatr avm,-0.632401661000262,0.632401661000262,Irrelevant
35,-0.627908824129252,0.627908824129252,Irrelevant
male,-0.626591878322613,0.626591878322613,Irrelevant
surgic,-0.6213218820958064,0.6213218820958064,Irrelevant
case,-0.6181839710473118,0.6181839710473118,Irrelevant
ii,-0.6172231903630726,0.6172231903630726,Irrelevant
31,-0.6107754848498288,0.6107754848498288,Irrelevant
dmin,-0.6097644285674932,0.6097644285674932,Irrelevant
literature,-0.6097068239759278,0.6097068239759278,Irrelevant
meta analysis,-0.6091485316358887,0.6091485316358887,Irrelevant
select,-0.6087470486271798,0.6087470486271798,Irrelevant
patient age,-0.6014498487462934,0.6014498487462934,Irrelevant
literatur,-0.5987749957324131,0.5987749957324131,Irrelevant
meta analysi,-0.5943514910857737,0.5943514910857737,Irrelevant
