feature,coefficient,abs_coef,class
matched cohorts,3.563837175526172e-05,3.563837175526172e-05,Relevant
ms srs,3.555149108680101e-05,3.555149108680101e-05,Relevant
nonelderly,3.3878054332118275e-05,3.3878054332118275e-05,Relevant
matched cohort,3.373426540017399e-05,3.373426540017399e-05,Relevant
years 78,3.363245779812255e-05,3.363245779812255e-05,Relevant
prior resection,3.36243910948682e-05,3.36243910948682e-05,Relevant
group radiosurgery,3.328251578068666e-05,3.328251578068666e-05,Relevant
time staged,3.323709297187291e-05,3.323709297187291e-05,Relevant
srs strategy,3.320678282374144e-05,3.320678282374144e-05,Relevant
psrs,3.286691599959484e-05,3.286691599959484e-05,Relevant
disease specific,3.268427139169765e-05,3.268427139169765e-05,Relevant
non embolized,3.253082785235332e-05,3.253082785235332e-05,Relevant
13 25,3.2476566581783354e-05,3.2476566581783354e-05,Relevant
obliteration posttreatment,3.242663751877725e-05,3.242663751877725e-05,Relevant
blinded outcome,3.223763149174699e-05,3.223763149174699e-05,Relevant
016,3.139896992390103e-05,3.139896992390103e-05,Relevant
vein 001,3.1398138122132506e-05,3.1398138122132506e-05,Relevant
median radiological,3.135153470532897e-05,3.135153470532897e-05,Relevant
term seizure,3.1192661734707675e-05,3.1192661734707675e-05,Relevant
292,3.118721956302362e-05,3.118721956302362e-05,Relevant
analyses revealed,3.11804261069965e-05,3.11804261069965e-05,Relevant
circulation time,3.115602062596293e-05,3.115602062596293e-05,Relevant
matched ratio,3.109435855940871e-05,3.109435855940871e-05,Relevant
srs achieved,3.101463700474776e-05,3.101463700474776e-05,Relevant
respectively annual,3.086637224833129e-05,3.086637224833129e-05,Relevant
results actuarial,3.0808488693669794e-05,3.0808488693669794e-05,Relevant
matched fashion,3.070707991336712e-05,3.070707991336712e-05,Relevant
dose group,3.064864769283743e-05,3.064864769283743e-05,Relevant
srs january,3.0633925925729416e-05,3.0633925925729416e-05,Relevant
prognostic factors,3.0426006378758385e-05,3.0426006378758385e-05,Relevant
children,-3.3320593557206315e-05,3.3320593557206315e-05,Irrelevant
indications,-2.9696504674405044e-05,2.9696504674405044e-05,Irrelevant
removal,-2.9455639821527054e-05,2.9455639821527054e-05,Irrelevant
year old,-2.923521188865125e-05,2.923521188865125e-05,Irrelevant
dural,-2.8814665240493265e-05,2.8814665240493265e-05,Irrelevant
malformations brain,-2.879776444973324e-05,2.879776444973324e-05,Irrelevant
normal,-2.8370192656651375e-05,2.8370192656651375e-05,Irrelevant
case report,-2.8159258865505894e-05,2.8159258865505894e-05,Irrelevant
intraoperative,-2.798854530187011e-05,2.798854530187011e-05,Irrelevant
systematic,-2.797421970375878e-05,2.797421970375878e-05,Irrelevant
literature,-2.736500287859407e-05,2.736500287859407e-05,Irrelevant
stereotaxic,-2.7265109021921337e-05,2.7265109021921337e-05,Irrelevant
meta,-2.7243860377935627e-05,2.7243860377935627e-05,Irrelevant
letter,-2.7144986781473397e-05,2.7144986781473397e-05,Irrelevant
dural arteriovenous,-2.6427613344483217e-05,2.6427613344483217e-05,Irrelevant
meta analysis,-2.6144180377081746e-05,2.6144180377081746e-05,Irrelevant
vascular malformations,-2.614141269697396e-05,2.614141269697396e-05,Irrelevant
systematic review,-2.6135568399247692e-05,2.6135568399247692e-05,Irrelevant
diagnostic,-2.4811937785837825e-05,2.4811937785837825e-05,Irrelevant
surrounding,-2.453511516827217e-05,2.453511516827217e-05,Irrelevant
cavernous,-2.4097210327143597e-05,2.4097210327143597e-05,Irrelevant
review meta,-2.3879096889546455e-05,2.3879096889546455e-05,Irrelevant
anterior,-2.369838285229803e-05,2.369838285229803e-05,Irrelevant
letter editor,-2.3665257565511424e-05,2.3665257565511424e-05,Irrelevant
editor,-2.3665257565511424e-05,2.3665257565511424e-05,Irrelevant
techniques,-2.3645151694998205e-05,2.3645151694998205e-05,Irrelevant
open,-2.353350993514052e-05,2.353350993514052e-05,Irrelevant
thrombosis,-2.3407898366217193e-05,2.3407898366217193e-05,Irrelevant
examination,-2.316034693146163e-05,2.316034693146163e-05,Irrelevant
review literature,-2.3137884141803843e-05,2.3137884141803843e-05,Irrelevant
