feature,coefficient,abs_coef,class
obliteration,2.1841583000667955,2.1841583000667955,Relevant
iii arteriovenous,2.013472284233799,2.013472284233799,Relevant
obliteration rate,1.618823402992654,1.618823402992654,Relevant
paired,1.5502112481901638,1.5502112481901638,Relevant
analyses,1.4599093813421102,1.4599093813421102,Relevant
malformations study,1.4357265446691532,1.4357265446691532,Relevant
2004,1.4251932950135715,1.4251932950135715,Relevant
2000,1.4219123006382384,1.4219123006382384,Relevant
experience,1.3504445951041637,1.3504445951041637,Relevant
outcome,1.3309655268101452,1.3309655268101452,Relevant
avm obliteration,1.2786973534784891,1.2786973534784891,Relevant
rate,1.2768527333442345,1.2768527333442345,Relevant
hazard,1.1789506010501227,1.1789506010501227,Relevant
58,1.1709860081917507,1.1709860081917507,Relevant
actuarial,1.1603910484527484,1.1603910484527484,Relevant
obliteration rates,1.132414139673357,1.132414139673357,Relevant
68,1.1271929609955857,1.1271929609955857,Relevant
rates,1.121572517349617,1.121572517349617,Relevant
martin grade,1.1169248919160641,1.1169248919160641,Relevant
nidus,1.0553824236814713,1.0553824236814713,Relevant
delivered,1.0542421707665997,1.0542421707665997,Relevant
srs,1.0425912820659153,1.0425912820659153,Relevant
47,1.0416685951731317,1.0416685951731317,Relevant
combined treatment,1.0195135962964388,1.0195135962964388,Relevant
details,1.011938803127762,1.011938803127762,Relevant
median,1.009592825342047,1.009592825342047,Relevant
avms volume,1.0031952828821704,1.0031952828821704,Relevant
significantly,0.9844021345316205,0.9844021345316205,Relevant
repeated radiosurgery,0.9637603006222506,0.9637603006222506,Relevant
volume,0.9468999288166385,0.9468999288166385,Relevant
pediatric,-1.484826152671486,1.484826152671486,Irrelevant
children,-1.4789738910664447,1.4789738910664447,Irrelevant
studies,-1.3227748619879318,1.3227748619879318,Irrelevant
meta,-1.1138648645410478,1.1138648645410478,Irrelevant
patient,-1.0475588694415572,1.0475588694415572,Irrelevant
literature,-0.9597359549752911,0.9597359549752911,Irrelevant
systematic,-0.9507655439550461,0.9507655439550461,Irrelevant
meta analysis,-0.9197200219792966,0.9197200219792966,Irrelevant
13,-0.8667968918441444,0.8667968918441444,Irrelevant
role,-0.8534974263492128,0.8534974263492128,Irrelevant
systematic review,-0.8075994826632781,0.8075994826632781,Irrelevant
lesion,-0.8014899433985665,0.8014899433985665,Irrelevant
review,-0.7624310454875488,0.7624310454875488,Irrelevant
pediatric avms,-0.7595297492139793,0.7595297492139793,Irrelevant
years range,-0.7556843012119194,0.7556843012119194,Irrelevant
surgical,-0.752208652414256,0.752208652414256,Irrelevant
selected,-0.715471227204238,0.715471227204238,Irrelevant
ii,-0.6983389469698436,0.6983389469698436,Irrelevant
35,-0.6897438898103447,0.6897438898103447,Irrelevant
undergone,-0.6874307411581897,0.6874307411581897,Irrelevant
endovascular,-0.6810639621221474,0.6810639621221474,Irrelevant
100,-0.6806235329156524,0.6806235329156524,Irrelevant
dmin,-0.6713276284007129,0.6713276284007129,Irrelevant
predict,-0.6681115117013361,0.6681115117013361,Irrelevant
hypofractionated,-0.6645884643803566,0.6645884643803566,Irrelevant
male,-0.6540463890086294,0.6540463890086294,Irrelevant
31,-0.6458519505986311,0.6458519505986311,Irrelevant
pediatric patients,-0.6445813937623082,0.6445813937623082,Irrelevant
normal,-0.6432830863003527,0.6432830863003527,Irrelevant
avm treatment,-0.6364964021868652,0.6364964021868652,Irrelevant
