feature,coefficient,abs_coef,class
obliteration,2.1282922102027992,2.1282922102027992,Relevant
obliteration rate,1.8162943095136783,1.8162943095136783,Relevant
rate,1.7232508115943201,1.7232508115943201,Relevant
paired,1.6539057756805746,1.6539057756805746,Relevant
2004,1.4166314879768858,1.4166314879768858,Relevant
malformations study,1.3854741793229268,1.3854741793229268,Relevant
2000,1.3730887679008121,1.3730887679008121,Relevant
iii arteriovenous malformations,1.3628706698611537,1.3628706698611537,Relevant
outcome,1.3272165723708702,1.3272165723708702,Relevant
experience,1.3236444157671563,1.3236444157671563,Relevant
avm obliteration,1.2724249114559214,1.2724249114559214,Relevant
iii arteriovenous,1.2440617401665943,1.2440617401665943,Relevant
grade iii arteriovenous,1.2440617401665943,1.2440617401665943,Relevant
58,1.1544616286019995,1.1544616286019995,Relevant
actuarial,1.11218986283715,1.11218986283715,Relevant
martin grade iii,1.0875662003784616,1.0875662003784616,Relevant
hazard,1.06755894649361,1.06755894649361,Relevant
68,1.0600234688371077,1.0600234688371077,Relevant
srs,1.0435011767561269,1.0435011767561269,Relevant
consecutive patient,1.038870321059651,1.038870321059651,Relevant
nidus,1.0080911266685992,1.0080911266685992,Relevant
multileaf,0.9928323792912823,0.9928323792912823,Relevant
2017,0.9682088871841974,0.9682088871841974,Relevant
delivered,0.955326845415464,0.955326845415464,Relevant
multivariate,0.9492301945054626,0.9492301945054626,Relevant
complete occlusion,0.9299914942151633,0.9299914942151633,Relevant
repeated radiosurgery,0.924248085641958,0.924248085641958,Relevant
treatment brain avms,0.9213242445782043,0.9213242445782043,Relevant
respectively,0.9156207073661037,0.9156207073661037,Relevant
higher,0.9002409835314915,0.9002409835314915,Relevant
pediatric,-1.4541976917992938,1.4541976917992938,Irrelevant
meta,-1.0747981880830229,1.0747981880830229,Irrelevant
literature,-0.9882238479132374,0.9882238479132374,Irrelevant
systematic,-0.9737237008062993,0.9737237008062993,Irrelevant
child,-0.9623701499847189,0.9623701499847189,Irrelevant
lesion,-0.9310865782285763,0.9310865782285763,Irrelevant
children,-0.9281764756893144,0.9281764756893144,Irrelevant
meta analysis,-0.9185192159534649,0.9185192159534649,Irrelevant
13,-0.8890293958091724,0.8890293958091724,Irrelevant
review,-0.8851000630510376,0.8851000630510376,Irrelevant
systematic review,-0.8183174085886972,0.8183174085886972,Irrelevant
100,-0.8141999894038359,0.8141999894038359,Irrelevant
role,-0.8099170965960499,0.8099170965960499,Irrelevant
surgical,-0.7318454638199645,0.7318454638199645,Irrelevant
pediatric avms,-0.6908981629653455,0.6908981629653455,Irrelevant
predict,-0.6905236349026144,0.6905236349026144,Irrelevant
treatment modality,-0.685650885900017,0.685650885900017,Irrelevant
16,-0.6848139839473475,0.6848139839473475,Irrelevant
31,-0.6795650480203271,0.6795650480203271,Irrelevant
35,-0.6794693006025686,0.6794693006025686,Irrelevant
male,-0.6691465557799856,0.6691465557799856,Irrelevant
dmin,-0.6664774542477906,0.6664774542477906,Irrelevant
year range,-0.6569143812132633,0.6569143812132633,Irrelevant
wa 25,-0.6403189445443184,0.6403189445443184,Irrelevant
removal,-0.6383391509095429,0.6383391509095429,Irrelevant
value,-0.636972000724014,0.636972000724014,Irrelevant
selected,-0.6366163588750117,0.6366163588750117,Irrelevant
endovascular,-0.6304480410920701,0.6304480410920701,Irrelevant
hypofractionated,-0.6264791121129011,0.6264791121129011,Irrelevant
presentation,-0.6220099546737818,0.6220099546737818,Irrelevant
