feature,coefficient,abs_coef,class
obliter rate,1.9579972759492732,1.9579972759492732,Relevant
rate,1.7841434435163164,1.7841434435163164,Relevant
obliter,1.75883090575529,1.75883090575529,Relevant
pair,1.6827241977162846,1.6827241977162846,Relevant
2000,1.5075145679806699,1.5075145679806699,Relevant
grade iii arterioven,1.4973950921888166,1.4973950921888166,Relevant
iii arterioven,1.4973950921888166,1.4973950921888166,Relevant
2004,1.4867057363182883,1.4867057363182883,Relevant
series,1.4292926570141775,1.4292926570141775,Relevant
microsurgeri radiosurgeri,1.2782117461964138,1.2782117461964138,Relevant
experience,1.204526562172629,1.204526562172629,Relevant
outcom,1.196555373223694,1.196555373223694,Relevant
martin grade iii,1.1760607535584275,1.1760607535584275,Relevant
obliteration,1.1386604065892862,1.1386604065892862,Relevant
68,1.1121763713378627,1.1121763713378627,Relevant
58,1.0922943189293601,1.0922943189293601,Relevant
consecut patient,1.0894142617216822,1.0894142617216822,Relevant
nidus,1.0834636523384074,1.0834636523384074,Relevant
multileaf,1.082424916062052,1.082424916062052,Relevant
actuari,1.067292710824723,1.067292710824723,Relevant
hazard,1.0384322902453427,1.0384322902453427,Relevant
2017,1.0156259377273895,1.0156259377273895,Relevant
repeat,1.0109299262202047,1.0109299262202047,Relevant
occlus,0.9866956291837865,0.9866956291837865,Relevant
defin,0.9842061335012515,0.9842061335012515,Relevant
srs,0.9828108864977532,0.9828108864977532,Relevant
combin treatment,0.9693848096945491,0.9693848096945491,Relevant
cure,0.9572415563324147,0.9572415563324147,Relevant
multivari,0.9416043186338638,0.9416043186338638,Relevant
gks,0.9383805038853554,0.9383805038853554,Relevant
children,-1.452998239389527,1.452998239389527,Irrelevant
pediatr,-1.4529668027834817,1.4529668027834817,Irrelevant
meta,-1.1058334755480812,1.1058334755480812,Irrelevant
systemat,-1.042655555696592,1.042655555696592,Irrelevant
review,-0.9869273702413813,0.9869273702413813,Irrelevant
lesion,-0.9794791276810657,0.9794791276810657,Irrelevant
13,-0.9499431695239933,0.9499431695239933,Irrelevant
systemat review,-0.9238004950664308,0.9238004950664308,Irrelevant
role,-0.8427688706350333,0.8427688706350333,Irrelevant
select,-0.7325693321910149,0.7325693321910149,Irrelevant
brain avm,-0.727430234772,0.727430234772,Irrelevant
patient age,-0.7107361801329719,0.7107361801329719,Irrelevant
model,-0.7041872718389649,0.7041872718389649,Irrelevant
surgic,-0.6849811423781813,0.6849811423781813,Irrelevant
search,-0.6749545716375606,0.6749545716375606,Irrelevant
21,-0.6659408483831946,0.6659408483831946,Irrelevant
100,-0.6637757858080002,0.6637757858080002,Irrelevant
dural,-0.6616239965881926,0.6616239965881926,Irrelevant
hypofraction,-0.6584070717862905,0.6584070717862905,Irrelevant
literatur,-0.6522900422082475,0.6522900422082475,Irrelevant
relat,-0.6489811408502659,0.6489811408502659,Irrelevant
case,-0.6482826908685577,0.6482826908685577,Irrelevant
pediatr avm,-0.6415820634398367,0.6415820634398367,Irrelevant
population,-0.6412764186334382,0.6412764186334382,Irrelevant
male,-0.6357082529710749,0.6357082529710749,Irrelevant
dmin,-0.633682391640362,0.633682391640362,Irrelevant
hemorrhages,-0.6233803551726704,0.6233803551726704,Irrelevant
use,-0.6196640395377071,0.6196640395377071,Irrelevant
delay,-0.6144829139465545,0.6144829139465545,Irrelevant
response,-0.613644319060399,0.613644319060399,Irrelevant
