feature,coefficient,abs_coef,class
obliteration,2.379805518071629,2.379805518071629,Relevant
iii arteriovenous,2.175695097782538,2.175695097782538,Relevant
analyses,1.7566724509679068,1.7566724509679068,Relevant
obliteration rate,1.7525856047589348,1.7525856047589348,Relevant
2000,1.5837093512099176,1.5837093512099176,Relevant
paired,1.566965865914472,1.566965865914472,Relevant
experience,1.5620117506453002,1.5620117506453002,Relevant
malformations study,1.4985995244784853,1.4985995244784853,Relevant
2004,1.4618820588136343,1.4618820588136343,Relevant
outcome,1.456979138758212,1.456979138758212,Relevant
rate,1.4275808598161812,1.4275808598161812,Relevant
avm obliteration,1.3471850256000462,1.3471850256000462,Relevant
58,1.2852934015923205,1.2852934015923205,Relevant
68,1.257277165320875,1.257277165320875,Relevant
obliteration rates,1.2499346108000946,1.2499346108000946,Relevant
martin grade,1.2197196966524166,1.2197196966524166,Relevant
actuarial,1.2061332816726487,1.2061332816726487,Relevant
rates,1.1910882279106103,1.1910882279106103,Relevant
consecutive patients,1.1234283938591765,1.1234283938591765,Relevant
47,1.1131271171134725,1.1131271171134725,Relevant
details,1.1086915532193837,1.1086915532193837,Relevant
avms volume,1.1056818429717752,1.1056818429717752,Relevant
hazard,1.1054782160158452,1.1054782160158452,Relevant
significantly,1.0876886301739281,1.0876886301739281,Relevant
delivered,1.0729193959360077,1.0729193959360077,Relevant
nidus,1.0671591061315033,1.0671591061315033,Relevant
37,1.0630832758836937,1.0630832758836937,Relevant
undergoing,1.0608019956932835,1.0608019956932835,Relevant
repeated radiosurgery,1.0536709608840946,1.0536709608840946,Relevant
cure,1.040289733326328,1.040289733326328,Relevant
pediatric,-1.7159199338451312,1.7159199338451312,Irrelevant
children,-1.522738539737989,1.522738539737989,Irrelevant
studies,-1.3262528212688558,1.3262528212688558,Irrelevant
patient,-1.322001182897254,1.322001182897254,Irrelevant
meta,-1.1579282215664866,1.1579282215664866,Irrelevant
literature,-1.0805165720141956,1.0805165720141956,Irrelevant
years range,-1.0479449901370543,1.0479449901370543,Irrelevant
undergone,-0.9828489741121353,0.9828489741121353,Irrelevant
13,-0.9779158748490866,0.9779158748490866,Irrelevant
meta analysis,-0.9640270556028819,0.9640270556028819,Irrelevant
systematic,-0.9485505822266609,0.9485505822266609,Irrelevant
selected,-0.9275340924547046,0.9275340924547046,Irrelevant
pediatric avms,-0.9180155079643485,0.9180155079643485,Irrelevant
lesion,-0.9106192634339793,0.9106192634339793,Irrelevant
35,-0.8998189025032105,0.8998189025032105,Irrelevant
dmin,-0.8778648462396718,0.8778648462396718,Irrelevant
role,-0.8411487049202846,0.8411487049202846,Irrelevant
predict,-0.8391937653452275,0.8391937653452275,Irrelevant
ii,-0.838717868129343,0.838717868129343,Irrelevant
hypofractionated,-0.8056289381567835,0.8056289381567835,Irrelevant
pediatric patients,-0.7998463454432272,0.7998463454432272,Irrelevant
systematic review,-0.7695081997796989,0.7695081997796989,Irrelevant
avm treatment,-0.7677073735519262,0.7677073735519262,Irrelevant
years mean,-0.7649361572039863,0.7649361572039863,Irrelevant
review,-0.7561874532510492,0.7561874532510492,Irrelevant
patient outcomes,-0.7549347241180727,0.7549347241180727,Irrelevant
findings,-0.7486557745721881,0.7486557745721881,Irrelevant
100,-0.7464090511655059,0.7464090511655059,Irrelevant
younger,-0.7421079290671638,0.7421079290671638,Irrelevant
postoperative,-0.7412067768421889,0.7412067768421889,Irrelevant
