feature,source,coefficient,abs_coef,class
obliter rate,text,1.964149829607757,1.964149829607757,Relevant
rate,text,1.8339842451895891,1.8339842451895891,Relevant
obliter,text,1.6688673633265905,1.6688673633265905,Relevant
2004,text,1.4278632824249033,1.4278632824249033,Relevant
2000,text,1.389166582377123,1.389166582377123,Relevant
iii arterioven malformations,text,1.2929913929521453,1.2929913929521453,Relevant
median,text,1.2346977884641084,1.2346977884641084,Relevant
srs,text,1.2167150324360756,1.2167150324360756,Relevant
arterioven malformations studi,text,1.1788530996671807,1.1788530996671807,Relevant
malformations studi,text,1.1788530996671807,1.1788530996671807,Relevant
iii arterioven,text,1.1732397552864682,1.1732397552864682,Relevant
grade iii arterioven,text,1.1732397552864682,1.1732397552864682,Relevant
pair,text,1.153543652327813,1.153543652327813,Relevant
outcom,text,1.1320769152048613,1.1320769152048613,Relevant
experience,text,1.1203808579262295,1.1203808579262295,Relevant
obliteration,text,1.0139244771816978,1.0139244771816978,Relevant
series,text,0.9810680357907,0.9810680357907,Relevant
58,text,0.9679628736426713,0.9679628736426713,Relevant
68,text,0.9605721189148099,0.9605721189148099,Relevant
combin treatment,text,0.9439957216275064,0.9439957216275064,Relevant
martin grade iii,text,0.9374180683369093,0.9374180683369093,Relevant
nidus,text,0.9348182388437113,0.9348182388437113,Relevant
avm treat,text,0.9262066750279931,0.9262066750279931,Relevant
avm score,text,0.9208444117206258,0.9208444117206258,Relevant
margin,text,0.9168355019239838,0.9168355019239838,Relevant
consecut patient,text,0.9045734493446265,0.9045734493446265,Relevant
occlus,text,0.8587381697929115,0.8587381697929115,Relevant
hazard,text,0.8520395552110822,0.8520395552110822,Relevant
avm obliter,text,0.8419419688702345,0.8419419688702345,Relevant
actuari,text,0.8370702610452297,0.8370702610452297,Relevant
excluded_study_design,criteria,-1.3197798345394072,1.3197798345394072,Irrelevant
pediatric_population,criteria,-0.9554094115222816,0.9554094115222816,Irrelevant
pediatr,text,-0.7887521173901251,0.7887521173901251,Irrelevant
model,text,-0.7750024474031906,0.7750024474031906,Irrelevant
lesion,text,-0.7540379750630655,0.7540379750630655,Irrelevant
role,text,-0.7151562701591769,0.7151562701591769,Irrelevant
case,text,-0.6643023960654942,0.6643023960654942,Irrelevant
irradi,text,-0.6638352651131775,0.6638352651131775,Irrelevant
valu,text,-0.6526557771312627,0.6526557771312627,Irrelevant
100,text,-0.648246150369268,0.648246150369268,Irrelevant
dural,text,-0.638539823797705,0.638539823797705,Irrelevant
surgic,text,-0.6370436954676821,0.6370436954676821,Irrelevant
brain avm,text,-0.6370014150868683,0.6370014150868683,Irrelevant
resect,text,-0.6327466665709099,0.6327466665709099,Irrelevant
systemat,text,-0.6290015247672467,0.6290015247672467,Irrelevant
13,text,-0.6165283386419523,0.6165283386419523,Irrelevant
select,text,-0.5961246402850652,0.5961246402850652,Irrelevant
embolis,text,-0.5875882935720337,0.5875882935720337,Irrelevant
35,text,-0.5832280732916058,0.5832280732916058,Irrelevant
review,text,-0.5826751710964126,0.5826751710964126,Irrelevant
normal,text,-0.5698947748193179,0.5698947748193179,Irrelevant
relat,text,-0.5655369757885121,0.5655369757885121,Irrelevant
hypofraction,text,-0.5654574617998802,0.5654574617998802,Irrelevant
case_study_few_patients,criteria,-0.5627831715210356,0.5627831715210356,Irrelevant
literature,text,-0.552408634759065,0.552408634759065,Irrelevant
dural arterioven,text,-0.540873408696837,0.540873408696837,Irrelevant
patients_under_30,criteria,-0.5393713113080656,0.5393713113080656,Irrelevant
31,text,-0.5386738480188471,0.5386738480188471,Irrelevant
sever,text,-0.5384598832327407,0.5384598832327407,Irrelevant
therapi,text,-0.5379161116303597,0.5379161116303597,Irrelevant
